date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2012-07-15,Oosaka,Oosakasi_Tyuuooku,Osaka,34.69,135.5,cereals and tubers,Rice,5 KG,actual,Retail,JPY,2374.0,30.1269
2012-07-15,Tookyoo,Sinzyukuku,Tokyo,35.69,139.69,cereals and tubers,Rice,5 KG,actual,Retail,JPY,2583.0,32.7792
2012-08-15,Oosaka,Oosakasi_Tyuuooku,Osaka,34.69,135.5,cereals and tubers,Rice,5 KG,actual,Retail,JPY,2390.0,30.2953
2012-08-15,Oosaka,Oosakasi_Tyuuooku,Osaka,34.69,135.5,cereals and tubers,"Rice (glutinous, unmilled)",KG,actual,Retail,JPY,527.0,6.6802
2012-08-15,Tookyoo,Sinzyukuku,Tokyo,35.69,139.69,cereals and tubers,Rice,5 KG,actual,Retail,JPY,2557.0,32.4122
2012-09-15,Oosaka,Oosakasi_Tyuuooku,Osaka,34.69,135.5,cereals and tubers,Rice,5 KG,actual,Retail,JPY,2383.0,30.4654
2012-09-15,Oosaka,Oosakasi_Tyuuooku,Osaka,34.69,135.5,cereals and tubers,"Rice (glutinous, unmilled)",KG,actual,Retail,JPY,536.0,6.8525
2012-09-15,Tookyoo,Sinzyukuku,Tokyo,35.69,139.69,cereals and tubers,Rice,5 KG,actual,Retail,JPY,2550.0,32.6004
2012-10-15,Oosaka,Oosakasi_Tyuuooku,Osaka,34.69,135.5,cereals and tubers,Rice,5 KG,actual,Retail,JPY,2447.0,31.0691
2012-10-15,Tookyoo,Sinzyukuku,Tokyo,35.69,139.69,cereals and tubers,Rice,5 KG,actual,Retail,JPY,2604.0,33.0625
2012-11-15,Oosaka,Oosakasi_Tyuuooku,Osaka,34.69,135.5,cereals and tubers,Rice,5 KG,actual,Retail,JPY,2456.0,30.2612
2012-11-15,Tookyoo,Sinzyukuku,Tokyo,35.69,139.69,cereals and tubers,Rice,5 KG,actual,Retail,JPY,2609.0,32.1464
2012-12-15,Oosaka,Oosakasi_Tyuuooku,Osaka,34.69,135.5,cereals and tubers,Rice,5 KG,actual,Retail,JPY,2433.0,29.1307
2012-12-15,Tookyoo,Sinzyukuku,Tokyo,35.69,139.69,cereals and tubers,Rice,5 KG,actual,Retail,JPY,2600.0,31.1303
2012-12-15,Tookyoo,Sinzyukuku,Tokyo,35.69,139.69,cereals and tubers,"Rice (glutinous, unmilled)",KG,actual,Retail,JPY,585.0,7.0043
2013-01-15,Oosaka,Oosakasi_Tyuuooku,Osaka,34.69,135.5,cereals and tubers,Rice,5 KG,actual,Retail,JPY,2417.0,27.2645
2013-01-15,Tookyoo,Sinzyukuku,Tokyo,35.69,139.69,cereals and tubers,Rice,5 KG,actual,Retail,JPY,2608.0,29.4191
